dep,Num_Acc,an,mois,jour,hrmn,lum,agg,int,atm,col,com,lat,long,count
1,91617206131712,8172,3069,7300,621144,831,642,919,794.0,1864.0,99083,2069898226.0,238081099.0,454
2,52669802447919,4698,1804,3779,371063,458,374,458,515.0,1116.0,110865,1291883336.0,90258412.0,261
3,51055402127848,4554,1743,3908,352905,412,368,439,438.0,1149.0,42276,1171831259.0,81166614.0,253
4,41167201897975,3672,1467,3275,273487,295,257,308,326.0,938.0,22245,897562920.0,124230037.0,204
5,48633801751144,4338,1646,4092,342826,374,374,489,423.0,1040.0,17468,1074867422.0,148158375.0,241
6,233280808361470,20808,7763,17610,1575422,2069,2093,2328,1749.0,4647.0,89683,5017129749.0,817440989.0,1156
7,44194202118800,3942,1503,3467,310163,354,295,379,336.0,938.0,41010,966798792.0,97870328.0,219
8,25023201314832,2232,830,1926,178797,244,196,241,226.0,542.0,28465,616040090.0,58504527.0,124
9,18162000910591,1620,590,1406,127917,142,121,125,137.0,367.0,17164,387405683.0,14460486.0,90
10,65988603093575,5886,2384,4930,447527,622,558,751,520.0,1431.0,95902,1572935461.0,133333763.0,327
11,74262403986122,6624,2482,5866,502790,617,564,636,556.0,1599.0,63023,1589139537.0,95266505.0,368
12,40561803312471,3618,1463,3424,278632,305,268,319,333.0,912.0,36375,890415094.0,53030066.0,201
13,688743453888464,61434,22384,53565,4602483,6703,5753,6664,4735.0,13430.0,182145,13844341311.0,1710811159.0,3413
14,88590205080781,7902,2988,6819,622067,798,658,827,822.0,1948.0,160277,2085097327.0,-9740053.0,439
15,19978201480080,1782,645,1565,135735,156,129,135,208.0,463.0,12581,432307010.0,25170581.0,99
16,35113202538189,3132,1213,2833,246870,337,250,346,295.0,756.0,32112,795279831.0,1543632.0,174
17,116842209150699,10422,4088,9067,817469,1067,921,1062,952.0,2334.0,157740,2661464454.0,-56065659.0,579
18,38543802838159,3438,1344,3192,247421,355,279,335,351.0,825.0,26440,880535149.0,45250751.0,191
19,38140203607575,3402,1221,2874,263750,316,309,376,309.0,749.0,20607,855259688.0,31843668.0,189
20,116842217539245,10422,3985,8937,784969,1070,918,1086,861.0,2315.0,63028,2441725720.0,528153560.0,579
21,48230203333763,4302,1522,3901,318342,441,344,451,437.0,1031.0,74588,1130298801.0,118289088.0,239
22,88993807034673,7938,2948,7018,613988,740,627,898,787.0,1835.0,87918,2139758985.0,-123878124.0,441
23,12309801051916,1098,441,933,85699,106,78,124,108.0,282.0,7815,281420040.0,11776006.0,61
24,39956402788703,3564,1359,3089,271545,327,257,306,345.0,815.0,60380,892841505.0,14382508.0,198
25,70024606489766,6246,2273,5693,489392,641,548,762,576.0,1446.0,81985,1632812654.0,215918398.0,347
26,63567004331406,5670,1965,4782,431718,529,424,504,506.0,1245.0,63255,879219771.0,96870433.0,315
27,85563205665363,7632,2830,6447,590926,760,654,897,876.0,1729.0,149525,2081591342.0,47763985.0,424
28,40965403360837,3654,1329,3172,275532,368,272,378,391.0,904.0,41927,982486709.0,28680393.0,203
29,147314013493323,13140,4831,11472,1006073,1330,1194,1582,1271.0,3184.0,94370,3520269035.0,-300134763.0,730
30,95249607747438,8496,3243,7546,635424,930,708,1039,720.0,1952.0,75244,2065071765.0,202744697.0,472
31,184445217929473,16452,5932,14131,1211703,1745,1485,1486,1360.0,3678.0,391643,3968103628.0,124424434.0,914
32,28655602776605,2556,1010,2211,190548,242,207,212,246.0,609.0,21293,619891720.0,7944926.0,142
33,207046826563551,18468,6760,16031,1378380,2034,1476,1824,1504.0,3970.0,213621,4600912430.0,-59459037.0,1026
34,155386013905865,13860,5351,11814,1040383,1478,1236,1466,1222.0,3290.0,122922,3353752637.0,284334604.0,770
35,164265217116401,14652,5553,12826,1155400,1604,1304,1875,1456.0,3270.0,171332,3919220372.0,-136642912.0,814
36,24216002335727,2160,854,1807,158885,228,177,216,182.0,494.0,12066,556627570.0,19733687.0,120
37,147919415658638,13194,4961,11714,996700,1335,1288,1554,1134.0,3212.0,144013,3452350795.0,51774408.0,733
38,136618609667674,12186,4627,10422,928325,1164,1024,1326,1045.0,2793.0,206735,3042426304.0,366735753.0,677
39,23408801806992,2088,821,1793,163303,199,154,182,225.0,413.0,37061,542167007.0,66383893.0,116
40,33700602712802,3006,1144,2455,225367,303,236,313,241.0,686.0,31629,733111562.0,-14407546.0,167
41,43790604667180,3906,1434,3381,301809,386,325,340,363.0,984.0,30297,1032486422.0,30823371.0,217
42,105541411633135,9414,3472,8344,724026,955,847,1088,928.0,2148.0,95224,2388638488.0,222467095.0,523
43,29261002464656,2610,996,2159,194881,237,196,202,231.0,615.0,20262,514483361.0,44272671.0,145
44,131775413502712,11754,4324,10673,861194,1196,1073,1224,978.0,2702.0,83857,3086482634.0,-113935890.0,653
45,122089013231367,10890,4218,9782,832190,1123,1029,1380,1069.0,2583.0,121674,2879612792.0,130613775.0,605
46,15135001184241,1350,495,1114,98900,124,101,123,146.0,352.0,9493,334561801.0,12507367.0,75
47,38342003810922,3420,1385,3035,254296,343,248,338,307.0,755.0,29070,842824176.0,9892553.0,190
48,15336800925789,1368,592,1179,101242,119,89,113,154.0,391.0,7031,338497668.0,26572043.0,76
49,163659819047209,14598,5323,13019,1134796,1434,1370,1416,1318.0,3652.0,92395,3845119171.0,-44374141.0,811
50,99083809817241,8838,3292,7868,672709,948,764,1028,847.0,2128.0,150819,2394834310.0,-70004305.0,491
51,95249611898691,8496,3143,7607,662218,902,806,1072,843.0,1955.0,183914,2319062411.0,193775976.0,472
52,26234002341402,2340,826,1926,182067,209,176,238,221.0,632.0,36385,616575891.0,66243681.0,130
53,28655602038214,2556,953,2369,191313,235,187,302,294.0,630.0,18089,683571982.0,-9390847.0,142
54,104532413921286,9324,3234,8092,709458,948,897,836,745.0,2243.0,192794,2526423888.0,316581371.0,518
55,18565601446593,1656,628,1409,137121,154,128,155,159.0,451.0,29295,450918954.0,49670162.0,92
56,112200813063783,10008,3677,8637,778887,1004,881,1279,896.0,2479.0,74612,2655129283.0,-169580671.0,556
57,79509209101033,7092,2507,6400,553178,761,595,753,724.0,1684.0,163018,1936326678.0,253445674.0,394
58,38342003715767,3420,1309,2952,269997,321,283,310,312.0,768.0,32665,893649854.0,62623266.0,190
59,193526224115576,17262,6296,14780,1338982,1898,1609,1974,1567.0,4140.0,338267,4771780856.0,299306722.0,959
60,77491206683364,6912,2765,5883,537885,779,561,768,684.0,1620.0,116440,1895491966.0,93181799.0,384
61,37534803474047,3348,1298,2957,265907,284,253,334,379.0,860.0,43972,903944406.0,1635438.0,186
62,110788213464686,9882,3714,8801,754258,1006,882,1195,1045.0,2330.0,227774,2768709479.0,130105230.0,549
63,55898605119917,4986,1872,4313,383499,489,376,528,485.0,1181.0,62772,1098310834.0,77162849.0,277
64,155991420068613,13914,5288,12047,1083837,1457,1401,1520,1291.0,3057.0,229637,3347664464.0,-75203997.0,773
65,21794402418553,1944,785,1740,146659,189,175,195,154.0,438.0,33188,466205070.0,1027158.0,108
66,75675008671607,6750,2565,5438,510419,664,585,548,456.0,1539.0,48021,1374021948.0,91983673.0,375
67,165677821856420,14778,5599,12752,1161937,1509,1379,1589,1482.0,3301.0,293267,3969905371.0,627063372.0,821
68,101707208863097,9072,3466,7935,669504,912,779,1057,916.0,2200.0,95924,2412821764.0,371784803.0,504
69,491383092368463,43830,16440,39233,3326109,5049,4398,4908,3968.0,9798.0,649552,11111910520.0,1172729733.0,2435
70,20785401554198,1854,671,1588,132402,188,137,159,160.0,449.0,31707,490595302.0,63440473.0,103
71,95451410831938,8514,3513,7400,650788,800,730,777,803.0,2022.0,127105,2200518971.0,217053376.0,473
72,81930807912078,7308,2894,6314,561559,720,608,653,640.0,1740.0,72868,1943692028.0,8795997.0,406
73,56302204906102,5022,1876,4453,386992,508,425,584,531.0,1107.0,34219,1271517001.0,171622515.0,279
74,124107013781607,11070,4145,9804,829128,1201,1019,1271,974.0,2550.0,77073,2803764480.0,383551342.0,615
75,1128264095989935,100638,37375,88475,7759028,12450,11113,13931,8973.0,24315.0,631162,24847926853.0,1191482833.0,5591
76,141865419214319,12654,4844,10837,940994,1493,1158,1423,962.0,2944.0,274129,3482909157.0,51481491.0,703
77,193324430640701,17244,6753,14396,1281482,1762,1279,2529,1649.0,3925.0,263605,4666836540.0,261182600.0,958
78,158211228323130,14112,5114,12429,1060558,1520,1049,1319,1239.0,3430.0,295806,3378624858.0,139895637.0,784
79,38342004086306,3420,1311,3101,264844,329,285,394,360.0,804.0,34137,885050268.0,-6614034.0,190
80,103725213557621,9252,3360,8130,724975,981,850,773,782.0,2177.0,129026,2565601707.0,118226423.0,514
81,34507803002606,3078,1171,2538,236754,302,238,318,334.0,808.0,21665,735383308.0,35285045.0,171
82,35113204278191,3132,1166,2750,237620,303,233,304,255.0,788.0,16773,766596968.0,22295912.0,174
83,164668821608846,14688,5480,13446,1113863,1493,1214,1548,1224.0,3357.0,73413,3504475483.0,502538638.0,816
84,50248203896336,4482,1624,4118,338587,457,358,516,368.0,1071.0,16180,1086863340.0,124744177.0,249
85,73858806392844,6588,2388,6030,491912,671,523,685,582.0,1482.0,58300,1707955068.0,-46956260.0,366
86,53880607496033,4806,1708,4087,350417,484,412,467,429.0,1073.0,40867,1234857024.0,10279095.0,267
87,81123612378994,7236,2660,6093,567945,700,650,747,621.0,1770.0,36043,1842713471.0,50291275.0,402
88,35920402706305,3204,1170,2729,258265,327,267,324,344.0,805.0,46474,848230145.0,114041703.0,178
89,47221203890990,4212,1604,3452,329038,411,316,432,385.0,1012.0,60351,1121684492.0,81648483.0,234
90,11704401488233,1044,395,933,83059,101,89,135,87.0,286.0,1694,271550072.0,39225836.0,58
91,294022656153132,26226,9919,22369,2024400,2616,2182,2140,2390.0,5766.0,544109,7082398592.0,340446795.0,1457
92,508536099623109,45360,16998,39078,3514341,4970,4562,4804,3711.0,10254.0,95680,11158723284.0,513453668.0,2520
93,551923113044126,49230,18564,43266,3858128,5535,4784,5315,4481.0,11049.0,114175,11679230395.0,591781373.0,2735
94,514186509362517,45864,17137,40343,3534770,5278,4462,5175,4240.0,10484.0,117513,12410820048.0,619865241.0,2548
95,172337234566933,15372,5657,13182,1127092,1561,1190,1054,1341.0,3547.0,308903,4185414206.0,194457283.0,854
97,407030714515175,36306,13892,31252,2738396,4046,3297,4328,2650.0,8095.0,678820,2755343708.0,10743739614.0,2017
